Nombre,ID
2026-03-23,Crimson Desert,3321460
2026-03-23,Slay the Spire 2,2868840
2026-03-23,Call of Duty®: Modern Warfare®,2000950
2026-03-23,Slay the Spire Collection,68595
2026-03-23,Cyberpunk 2077,1091500
2026-03-23,The Last Caretaker,1783560
2026-03-23,Retro Rewind - Video Store Simulator,3552140
2026-03-23,ARC Raiders,1808500
2026-03-23,ELDEN RING,1245620
2026-03-23,Baldur's Gate 3,1086940
2026-03-24,Crimson Desert,3321460
2026-03-24,Call of Duty®: Modern Warfare®,2000950
2026-03-24,Prime Status Upgrade,54029
2026-03-24,Slay the Spire 2,2868840
2026-03-24,ARC Raiders,1808500
2026-03-24,Slay the Spire Collection,68595
2026-03-24,Stardew Valley,413150
2026-03-24,Sons Of The Forest,1326470
2026-03-24,Baldur's Gate 3,1086940
2026-03-24,ELDEN RING,1245620
2026-03-26,Crimson Desert,3321460
2026-03-26,THE FINALS - Season 10 Ultimate Battle Pass Bundle,4403950
2026-03-26,Baldur's Gate 3,1086940
2026-03-26,Slay the Spire 2,2868840
2026-03-26,Call of Duty®: Modern Warfare®,2000950
2026-03-26,ELDEN RING,1245620
2026-03-26,Ready or Not,1144200
2026-03-26,ARC Raiders,1808500
2026-03-26,Way of the Hunter 2,2543830
2026-03-26,Cyberpunk 2077,1091500
2026-03-26,Crimson Desert,3321460
2026-03-26,THE FINALS - Season 10 Ultimate Battle Pass Bundle,4403950
2026-03-26,Baldur's Gate 3,1086940
2026-03-26,Slay the Spire 2,2868840
2026-03-26,Call of Duty®: Modern Warfare®,2000950
2026-03-26,ELDEN RING,1245620
2026-03-26,Ready or Not,1144200
2026-03-26,ARC Raiders,1808500
2026-03-26,Way of the Hunter 2,2543830
2026-03-26,Cyberpunk 2077,1091500
