AppID,Nombre,Fecha_Lanzamiento,Géneros,Desarrollador
730,Counter-Strike 2,"21 Aug, 2012","Action, Free To Play",Valve
570,Dota 2,"9 Jul, 2013","Action, Strategy, Free To Play",Valve
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017","Action, Adventure, Massively Multiplayer, Free To Play",PUBG Corporation
1867240,WARDOGS,"10 Sep, 2026","Action, Indie, Massively Multiplayer, Simulation, Early Access",BULKHEAD
1172470,Apex Legends™,"4 Nov, 2020","Action, Adventure, Free To Play",Respawn
892970,Valheim,"9 Sep, 2026","Action, Adventure, Indie, RPG",Iron Gate AB
3419430,Bongo Cat,"5 Mar, 2025","Casual, Indie, Massively Multiplayer, Simulation, Free To Play",Irox Games
2676230,FiveM,,,
252490,Rust,"8 Feb, 2018","Action, Adventure, Indie, Massively Multiplayer, RPG",Facepunch Studios
4126040,Aniimo,"15 Sep, 2026","Action, Adventure, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play",Pawprint Studio
2507950,Delta Force,"4 Dec, 2024","Action, Adventure, Massively Multiplayer, Free To Play",Team Jade
431960,Wallpaper Engine,"16 Nov, 2018","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Wallpaper Engine Team
2868840,Slay the Spire 2,"5 Mar, 2026","Indie, Strategy, Early Access",Mega Crit
3678970,TBH: Task Bar Hero,"27 May, 2026","Casual, Indie, RPG, Free To Play","Nugem Studio, Tesseract Studio"
236390,War Thunder,"15 Aug, 2013","Action, Massively Multiplayer, Simulation, Free To Play",Gaijin Entertainment
1623730,Palworld,"9 Jul, 2026","Action, Adventure, Indie, RPG",Pocketpair
250900,The Binding of Isaac: Rebirth,"4 Nov, 2014",Action,"Nicalis, Inc., Edmund McMillen"
3240220,Grand Theft Auto V Enhanced,"4 Mar, 2025","Action, Adventure, Racing",Rockstar North
2357570,Overwatch®,"10 Aug, 2023","Action, Free To Play","Blizzard Entertainment, Inc."
413150,Stardew Valley,"26 Feb, 2016","Indie, RPG, Simulation",ConcernedApe
440,Team Fortress 2,"10 Oct, 2007","Action, Free To Play",Valve
1973530,Limbus Company,"26 Feb, 2023",Free To Play,ProjectMoon
271590,Grand Theft Auto V Legacy,"13 Apr, 2015","Action, Adventure",Rockstar North
359550,Tom Clancy's Rainbow Six Siege,"1 Dec, 2015","Action, Free To Play",Ubisoft Montreal
2767030,Marvel Rivals,"5 Dec, 2024","Action, Adventure, Casual, Massively Multiplayer, Racing, RPG, Strategy, Free To Play",NetEase Games
230410,Warframe,"25 Mar, 2013","Action, RPG, Free To Play",Digital Extremes
381210,Dead by Daylight,"14 Jun, 2016",Action,Behaviour Interactive Inc.
