AppID,Nombre,Fecha_Lanzamiento,Géneros,Desarrollador
730,Counter-Strike 2,"21 Aug, 2012","Action, Free To Play",Valve
570,Dota 2,"9 Jul, 2013","Action, Strategy, Free To Play",Valve
2868840,Slay the Spire 2,"5 Mar, 2026","Indie, Strategy, Early Access",Mega Crit
578080,PUBG: BATTLEGROUNDS,"21 Dec, 2017","Action, Adventure, Massively Multiplayer, Free To Play",PUBG Corporation
3419430,Bongo Cat,"5 Mar, 2025","Casual, Indie, Massively Multiplayer, Simulation, Free To Play","Marcel Zurawka, Julius Krüger"
252490,Rust,"8 Feb, 2018","Action, Adventure, Indie, Massively Multiplayer, RPG",Facepunch Studios
2507950,Delta Force,"4 Dec, 2024","Action, Adventure, Massively Multiplayer, Free To Play",Team Jade
1172470,Apex Legends™,"4 Nov, 2020","Action, Adventure, Free To Play",Respawn
431960,Wallpaper Engine,"16 Nov, 2018","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",Wallpaper Engine Team
238960,Path of Exile,"23 Oct, 2013","Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play",Grinding Gear Games
271590,Grand Theft Auto V Legacy,"13 Apr, 2015","Action, Adventure",Rockstar North
1808500,ARC Raiders,"30 Oct, 2025",Action,Embark Studios
3764200,Resident Evil Requiem,"26 Feb, 2026","Action, Adventure","CAPCOM Co., Ltd."
2676230,FiveM,,,
236390,War Thunder,"15 Aug, 2013","Action, Massively Multiplayer, Simulation, Free To Play",Gaijin Entertainment
413150,Stardew Valley,"26 Feb, 2016","Indie, RPG, Simulation",ConcernedApe
440,Team Fortress 2,"10 Oct, 2007","Action, Free To Play",Valve
230410,Warframe,"25 Mar, 2013","Action, RPG, Free To Play",Digital Extremes
3240220,Grand Theft Auto V Enhanced,"4 Mar, 2025","Action, Adventure, Racing",Rockstar North
1422450,Deadlock,To be announced,Action,Valve
105600,Terraria,"16 May, 2011","Action, Adventure, Indie, RPG",Re-Logic
1973530,Limbus Company,"Feb 26, 2023",,ProjectMoon
1203220,NARAKA: BLADEPOINT,"11 Aug, 2021","Action, Adventure, Massively Multiplayer, Free To Play",24 Entertainment
2357570,Overwatch®,"10 Aug, 2023","Action, Free To Play","Blizzard Entertainment, Inc."
322170,Geometry Dash,"22 Dec, 2014","Action, Indie",RobTop Games
359550,Tom Clancy's Rainbow Six Siege,"1 Dec, 2015","Action, Free To Play",Ubisoft Montreal
4465480,Counter-Strike:Global Offensive,"21 Aug, 2012","Action, Free To Play",Valve
438100,VRChat,"1 Feb, 2017","Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access",VRChat Inc.
