Fecha,Posicion,Juego,Jugadores
2026-03-09,1,Counter-Strike 2,1019803
2026-03-09,2,Dota 2,491209
2026-03-09,3,Slay the Spire 2,330808
2026-03-09,4,PUBG: BATTLEGROUNDS,321381
2026-03-09,5,Bongo Cat,169675
2026-03-09,6,Rust,119428
2026-03-09,7,Wallpaper Engine,92069
2026-03-09,8,Delta Force,92063
2026-03-09,9,Apex Legends™,88168
2026-03-09,10,Path of Exile,85504
2026-03-09,11,Grand Theft Auto V Legacy,76905
2026-03-09,12,ARC Raiders,71967
2026-03-09,13,Resident Evil Requiem,64276
2026-03-09,14,FiveM,62033
2026-03-09,15,War Thunder,54842
2026-03-09,16,Stardew Valley,50919
2026-03-09,17,Team Fortress 2,48026
2026-03-09,18,Warframe,46568
2026-03-09,19,Grand Theft Auto V Enhanced,44602
2026-03-09,20,Deadlock,42860
2026-03-09,21,Terraria,41933
2026-03-09,22,Limbus Company,41713
2026-03-09,23,Overwatch®,39931
2026-03-09,24,NARAKA: BLADEPOINT,38353
2026-03-09,25,Geometry Dash,37987
2026-03-09,26,Tom Clancy's Rainbow Six Siege,35348
2026-03-09,27,VRChat,34981
2026-03-09,28,Counter-Strike:Global Offensive,34677
2026-03-09,29,DayZ,34226
2026-03-09,30,tModLoader,33989
2026-03-09,31,Baldur's Gate 3,29719
2026-03-09,32,Hearts of Iron IV,29491
2026-03-09,33,Crosshair X,29184
2026-03-09,34,Marvel Rivals,28670
2026-03-09,35,Dead by Daylight,28652
2026-03-09,36,Heartopia,28568
2026-03-09,37,Slay the Spire,27694
2026-03-09,38,Where Winds Meet,27344
2026-03-09,39,Mewgenics,27094
2026-03-09,40,Palworld,27077
2026-03-09,41,EA SPORTS FC™ 26,26854
2026-03-09,42,Sid Meier’s Civilization® VI,26716
2026-03-09,43,HELLDIVERS™ 2,26505
2026-03-09,44,RimWorld,25878
2026-03-09,45,Monster Hunter Wilds,25366
2026-03-09,46,Marathon,25051
2026-03-09,47,ARK: Survival Ascended,24349
2026-03-09,48,Euro Truck Simulator 2,23793
2026-03-09,49,Football Manager 26,22997
2026-03-09,50,Battlefield™ 6,22759
2026-03-09,51,Red Dead Redemption 2,22192
2026-03-09,52,Don't Starve Together,21963
2026-03-09,53,Banana,21588
2026-03-09,54,Black Desert,21376
2026-03-09,55,Cyberpunk 2077,20250
2026-03-09,56,Climber Animals: Together,20027
2026-03-09,57,Cities: Skylines,19853
2026-03-09,58,Counter-Strike: Source,19661
2026-03-09,59,Mount & Blade II: Bannerlord,19511
2026-03-09,60,STALCRAFT: X,19343
2026-03-09,61,OBS Studio,18941
2026-03-09,62,Street Fighter™ 6,18804
2026-03-09,63,NBA 2K26,18737
2026-03-09,64,ARK: Survival Evolved,18722
2026-03-09,65,ELDEN RING,18697
2026-03-09,66,R.E.P.O.,18635
2026-03-09,67,Project Zomboid,18514
2026-03-09,68,Resident Evil 4,18227
2026-03-09,69,Call of Duty®,18090
2026-03-09,70,Garry's Mod,18085
2026-03-09,71,The Sims™ 4,18048
2026-03-09,72,ELDEN RING NIGHTREIGN,17941
2026-03-09,73,7 Days to Die,17640
2026-03-09,74,BidKing Demo,16935
2026-03-09,75,Russian Fishing 4,16927
2026-03-09,76,Total War: WARHAMMER III,16580
2026-03-09,77,The Elder Scrolls V: Skyrim Special Edition,16336
2026-03-09,78,Kingdom Come: Deliverance II,15811
2026-03-09,79,The Binding of Isaac: Rebirth,15366
2026-03-09,80,Arena Breakout: Infinite,14746
2026-03-09,81,Yu-Gi-Oh! Master Duel,14681
2026-03-09,82,Farming Simulator 25,14569
2026-03-09,83,Valheim,14525
2026-03-09,84,Crusader Kings III,14410
2026-03-09,85,Warhammer 40,000: Space Marine 2,14280
2026-03-09,86,Satisfactory,14170
2026-03-09,87,BeamNG.drive,13947
2026-03-09,88,Football Manager 2024,13575
2026-03-09,89,Fallout 4,13564
2026-03-09,90,IdleOn,13494
2026-03-09,91,Black Myth: Wukong,13491
2026-03-09,92,Hunt: Showdown 1896,13286
2026-03-09,93,Soundpad,13088
2026-03-09,94,Factorio,12816
2026-03-09,95,Squad,12632
2026-03-09,96,Escape from Tarkov,12465
2026-03-09,97,PAYDAY 2,12311
2026-03-09,98,PEAK,12131
2026-03-09,99,Age of Empires II: Definitive Edition,12102
2026-03-09,100,Once Human,11940
